time,Branch1:pressure,Branch1:rho,Branch1:temperature,Branch1:velocity,Branch2:pressure,Branch2:rho,Branch2:temperature,Branch2:velocity,reactor:power
5,259263.75900194,865.51026802106,628.15000000002,3.2500000000002,160282.00869206,830.52781870778,780.60481022444,3.3869789012086,250000000
6,259261.09760511,865.51026802106,628.15000000001,3.2499999999998,160284.852798,830.71910253134,779.7772288866,3.3862658796779,250000000
7,259261.70664711,865.51026802107,628.14999999999,3.25,160286.90955168,830.77431692698,779.53833397334,3.3860566258654,250000000
8,259262.9584612,865.51026802107,628.15,3.25,160287.97321669,830.76594465351,779.57455845601,3.3860872327315,250000000
9,259263.96229973,865.51026802082,628.15000000107,3.2499999999924,160288.55942991,830.74328746361,779.6725891426,3.3861735760456,250000000
10,259264.6927601,865.51026802106,628.15,3.25,160289.04499607,830.72299288622,779.76039675218,3.3862520057888,250000000
11,259265.28821478,865.51026802116,628.14999999957,3.2499999999688,160289.56099668,830.70638327675,779.83226023309,3.3863167893315,250000000
12,259265.82860406,865.51026802084,628.150000001,3.2500000000139,160290.1141503,830.69143313115,779.89694342108,3.3863751893663,250000000
13,259266.33624307,865.51026802102,628.15000000021,3.25,160290.68330926,830.67678926674,779.96030106746,3.3864323652556,250000000
14,259266.81300278,865.51026801994,628.15000000494,3.250000000014,160291.25496604,830.66203959817,780.02411609467,3.3864899250712,250000000
15,259267.25963761,865.51026802092,628.15000000064,3.2500000000017,160291.82515923,830.64718271645,780.08839459036,3.3865478968962,250000000
16,259267.67948269,865.51026802105,628.15000000008,3.2500000000947,160292.39409713,830.6322867715,780.15284169711,3.3866060005497,250000000
17,259268.07712482,865.51026802112,628.14999999974,3.2500000000182,160292.96249184,830.61738889042,780.21729678351,3.3866641143433,250000000
18,259268.45707285,865.51026802131,628.14999999894,3.2499999999957,160293.53073309,830.60249810707,780.281720765,3.3867222023276,250000000
19,259268.8232655,865.51026802119,628.14999999947,3.2500000000387,160294.09887839,830.5876136021,780.34611718709,3.3867802667233,250000000
20,259269.17910043,865.51026802091,628.1500000007,3.2500000000146,160294.66685887,830.572734173,780.41049125278,3.3868383117323,250000000
21,259269.52755029,865.51026802094,628.15000000055,3.2500000000367,160295.23459354,830.55786027508,780.4748409926,3.3868963357383,250000000
22,259269.87122137,865.51026802138,628.14999999861,3.2500000000147,160295.80199933,830.54299348505,780.53915958566,3.3869543326288,250000000
23,259270.21241513,865.51026802144,628.14999999835,3.249999999972,160296.36899709,830.52813592161,780.60343786647,3.3870122944596,250000000
24,259270.55312914,865.51026802116,628.14999999959,3.2500000000302,160296.93549263,830.51329001911,780.66766530413,3.3870702116966,250000000
25,259270.8950962,865.51026802105,628.15000000009,3.25,160297.50145838,830.4984585318,780.73182998405,3.3871280491335,250000000
26,259271.23976855,865.51026802107,628.14999999999,3.25,160298.06661055,830.48364456114,780.79591848984,3.3871858445247,250000000
27,259271.58839037,865.51026802107,628.14999999999,3.25,160298.63089064,830.46885162031,780.85991562418,3.3872435592039,250000000
28,259271.94198333,865.51026802107,628.14999999999,3.25,160299.19414463,830.45408362018,780.92380446979,3.3873011780372,250000000
29,259272.30137267,865.51026802106,628.15,3.25,160299.75620303,830.43934487503,780.98756636451,3.3873586843148,250000000
30,259272.66720416,865.51026802107,628.14999999999,3.25,160300.31688124,830.42464009733,781.051180924,3.3874160597728,250000000
31,259273.03995897,865.51026802114,628.14999999965,3.2500000000046,160300.87595804,830.40997441142,781.11462598272,3.3874732911704,250000000
32,259273.41997267,865.51026802094,628.15000000057,3.2500000000019,160301.43326476,830.39535325097,781.1778780374,3.3875303440585,250000000
33,259273.80744125,865.51026802097,628.15000000039,3.2500000000063,160301.9885509,830.38078247997,781.24091172376,3.3875872023205,250000000
34,259274.20244075,865.51026802083,628.15000000103,3.250000000009,160302.54157646,830.36626828039,781.3037003026,3.387643842159,250000000
35,259274.60493693,865.51026802083,628.15000000104,3.2499999999844,160303.09209101,830.35181715642,781.36621564136,3.387700237904,250000000
36,259275.01479656,865.51026802038,628.15000000302,3.2500000000019,160303.63983026,830.3374359055,781.42842833956,3.3877563635573,250000000
37,259275.43179893,865.51026802127,628.14999999908,3.2500000000074,160304.18452348,830.32313159222,781.4903078418,3.3878121911978,250000000
38,259275.85564367,865.51026802074,628.15000000144,3.2500000000043,160304.72588804,830.3089115212,781.55182255496,3.3878676927743,250000000
39,259276.28596282,865.51026802099,628.15000000033,3.2500000000009,160305.2636361,830.29478320217,781.61293999938,3.3879228388124,250000000
40,259276.72232783,865.51026802137,628.14999999868,3.2500000000086,160305.79747316,830.280754322,781.67362692975,3.3879775991685,250000000
41,259277.16425701,865.51026802084,628.15000000101,3.2499999999937,160306.32709805,830.26683270505,781.73384950684,3.3880319439084,250000000
42,259277.6112257,865.51026802101,628.15000000022,3.2499999999972,160306.85220724,830.25302628745,781.79357340857,3.3880858420011,250000000
43,259278.06267099,865.51026802087,628.15000000086,3.2499999999995,160307.37249716,830.2393430769,781.85276400401,3.3881392615226,250000000
44,259278.51799871,865.5102680212,628.14999999942,3.250000000008,160307.88765935,830.22579111765,781.91138650486,3.3881921716691,250000000
45,259278.97659034,865.5102680213,628.14999999895,3.2499999999952,160308.3973872,830.21237845812,781.96940610544,3.3882445411346,250000000
46,259279.43780817,865.51026802087,628.15000000087,3.2500000000128,160308.90137731,830.19911311789,782.02678812542,3.3882963380286,250000000
47,259279.90100038,865.51026802077,628.1500000013,3.2500000000039,160309.39932609,830.18600304998,782.08349817318,3.3883475320057,250000000
48,259280.36549833,865.510268021,628.1500000003,3.2499999999777,160309.8909027,830.17305610435,782.13950230343,3.3883981018994,250000000
49,259280.83066079,865.51026802106,628.15000000002,3.2500000000019,160310.37591638,830.16028003768,782.19476697496,3.3884479875508,250000000
50,259281.29579822,865.51026802106,628.15000000001,3.2499999999924,160310.8539799,830.14768239249,782.24925957357,3.3884971894276,250000000
51,259281.76025077,865.51026802105,628.15000000006,3.2500000000249,160311.32481724,830.13527055433,782.30294816443,3.3885456778335,250000000
52,259282.22337408,865.51026802104,628.15000000013,3.2499999999962,160311.78822182,830.12305170082,782.35580171273,3.3885934059963,250000000
53,259282.68451572,865.51026802124,628.14999999922,3.2499999999838,160312.24390015,830.11103275118,782.40779030168,3.3886403564185,250000000
54,259283.14304586,865.51026802108,628.14999999995,3.2500000000272,160312.69160348,830.09922036172,782.45888515228,3.3886865029653,250000000
55,259283.59834584,865.51026802107,628.14999999997,3.2499999999834,160313.13109398,830.08762089849,782.50905874117,3.3887318206525,250000000
56,259284.04981363,865.51026802095,628.15000000049,3.2500000000021,160313.56214431,830.07624042054,782.55828487337,3.3887762859013,250000000
